Date,QQQ,VOO,HOOD,SOFI,BTC,ETH
2021-08-04,358.2164611816406,380.4695739746094,70.38999938964844,16.389999389648438,,
2021-08-05,360.4886474609375,382.8450012207031,50.970001220703125,16.059999465942383,,
2021-08-06,358.90887451171875,383.5047302246094,55.0099983215332,16.709999084472656,,
2021-08-09,359.5721130371094,383.13714599609375,56.83000183105469,16.90999984741211,,
2021-08-10,357.72894287109375,383.617919921875,53.939998626708984,16.989999771118164,,
2021-08-11,357.1146545410156,384.5416564941406,51.189998626708984,16.899999618530273,,
2021-08-12,358.4018249511719,385.6633605957031,48.099998474121094,17.459999084472656,,
2021-08-13,359.65972900390625,386.4267883300781,50.630001068115234,14.989999771118164,,
2021-08-16,359.8157958984375,387.35052490234375,47.189998626708984,14.289999961853027,,
2021-08-17,356.646484375,384.79608154296875,46.66999816894531,13.75,,
2021-08-18,353.2139587402344,380.6581726074219,49.79999923706055,14.220000267028809,,
2021-08-19,354.92047119140625,381.1954345703125,44.689998626708984,13.819999694824219,,
2021-08-20,358.5968322753906,384.21173095703125,42.63999938964844,14.039999961853027,,
2021-08-23,363.96026611328125,387.614501953125,45.290000915527344,14.430000305175781,,
2021-08-24,365.0718994140625,388.22723388671875,49.380001068115234,14.760000228881836,,
2021-08-25,365.4912109375,388.94354248046875,48.97999954223633,14.850000381469727,,
2021-08-26,363.17034912109375,386.6719665527344,46.86000061035156,14.359999656677246,,
2021-08-27,366.7004089355469,390.1029968261719,46.869998931884766,14.039999961853027,,
2021-08-30,370.8156433105469,391.8939208984375,43.63999938964844,14.1899995803833,,
2021-08-31,370.51336669921875,391.22467041015625,44.31999969482422,14.180000305175781,,
2021-09-01,371.1276550292969,391.63946533203125,44.56999969482422,14.569999694824219,,
2021-09-02,370.9521484375,392.8082275390625,44.4900016784668,15.0600004196167,,
2021-09-03,372.0931091308594,392.65740966796875,43.349998474121094,15.15999984741211,,
2021-09-07,372.61968994140625,391.205810546875,42.130001068115234,15.84000015258789,,
2021-09-08,371.32275390625,390.8287353515625,40.04999923706055,15.470000267028809,,
2021-09-09,370.0452575683594,389.0755615234375,41.279998779296875,15.6899995803833,,
2021-09-10,367.23675537109375,386.06866455078125,41.16999816894531,15.289999961853027,,
2021-09-13,366.98321533203125,386.9735412597656,40.599998474121094,15.010000228881836,,
2021-09-14,365.9398193359375,384.9658508300781,40.02000045776367,14.5,,
2021-09-15,368.6605224609375,388.1800537109375,41.869998931884766,15.449999809265137,,
2021-09-16,368.9140930175781,387.5107727050781,41.95000076293945,15.5,,
2021-09-17,364.5452880859375,383.7121276855469,42.380001068115234,15.09000015258789,,
2021-09-20,357.0126037597656,377.4438781738281,40.70000076293945,14.569999694824219,,
2021-09-21,357.4519348144531,377.0762939453125,42.290000915527344,15.170000076293945,,
2021-09-22,360.7906799316406,380.71466064453125,46.880001068115234,16.84000015258789,,
2021-09-23,364.1197204589844,385.3145446777344,45.939998626708984,17.139999389648438,,
2021-09-24,364.46136474609375,385.95556640625,44.90999984741211,17.639999389648438,,
2021-09-27,361.5522155761719,384.86212158203125,44.7599983215332,17.700000762939453,,
2021-09-28,351.32110595703125,377.17059326171875,44.619998931884766,17.040000915527344,,
2021-09-29,350.74517822265625,377.764404296875,43.130001068115234,16.010000228881836,,
2021-09-30,349.4565124511719,372.9792785644531,42.08000183105469,15.880000114440918,,
2021-10-01,351.6237487792969,377.44287109375,41.900001525878906,16.450000762939453,,
2021-10-04,344.24334716796875,372.799560546875,40.93000030517578,16.09000015258789,,
2021-10-05,348.8902587890625,376.4215087890625,42.0099983215332,16.25,,
2021-10-06,351.1258850097656,378.0954284667969,42.060001373291016,16.6200008392334,,
2021-10-07,354.34747314453125,381.3485412597656,41.84000015258789,16.399999618530273,,
2021-10-08,352.5804748535156,380.6297912597656,41.779998779296875,16.209999084472656,,
2021-10-11,349.87628173828125,377.8589782714844,42.06999969482422,18.389999389648438,,
2021-10-12,348.6559753417969,377.10235595703125,40.529998779296875,18.969999313354492,,
2021-10-13,351.44805908203125,378.31292724609375,40.52000045776367,18.920000076293945,,
2021-10-14,357.92059326171875,384.66796875,40.93000030517578,19.6200008392334,,
2021-10-15,360.1756896972656,387.6657409667969,41.029998779296875,19.3799991607666,,
2021-10-18,363.79754638671875,388.84783935546875,40.650001525878906,20.850000381469727,,
2021-10-19,366.550537109375,391.87408447265625,41.70000076293945,20.219999313354492,,
2021-10-20,366.0721740722656,393.3966979980469,41.83000183105469,21.049999237060547,,
2021-10-21,368.3077697753906,394.3612365722656,41.279998779296875,20.989999771118164,,
2021-10-22,365.21307373046875,393.964111328125,39.59000015258789,20.579999923706055,,
2021-10-25,368.9521484375,396.00677490234375,39.0099983215332,20.690000534057617,,
2021-10-26,370.11376953125,396.38494873046875,39.56999969482422,19.959999084472656,,
2021-10-27,370.9728698730469,394.6638488769531,35.439998626708984,19.25,,
2021-10-28,375.0927429199219,398.52227783203125,35.470001220703125,19.90999984741211,,
2021-10-29,376.937744140625,399.2315368652344,34.970001220703125,20.09000015258789,,
2021-11-01,378.2264099121094,400.07318115234375,34.849998474121094,22.6200008392334,,
2021-11-02,379.8079528808594,401.6241149902344,34.9900016784668,22.68000030517578,,
2021-11-03,383.83984375,404.0451354980469,37.040000915527344,22.959999084472656,,
2021-11-04,388.7601013183594,405.9365234375,37.06999969482422,23.290000915527344,,
2021-11-05,389.1310729980469,407.3171081542969,37.0099983215332,22.56999969482422,,
2021-11-08,388.6039123535156,407.80889892578125,37.97999954223633,22.739999771118164,,
